Unnamed: 0,Solvent,Solute,COSMO_RS,UNIFAC,mod_UNIFAC_Ly,mod_UNIFAC_Do,Abraham,HSP,Hildebrand,MOSCED,Literature,Ref,Solvent_SMILES,Solute_SMILES,key_ID,Ensemble_1,Ensemble_2,Ensemble_3,Ensemble_4,Ensemble_5,Ensemble_6,Ensemble_7,Ensemble_8,Ensemble_9,Ensemble_10,Ensemble_11,Ensemble_12,Ensemble_13,Ensemble_14,Ensemble_15,Ensemble_16,Ensemble_17,Ensemble_18,Ensemble_19,Ensemble_20,Ensemble_21,Ensemble_22,Ensemble_23,Ensemble_24,Ensemble_25,Ensemble_26,Ensemble_27,Ensemble_28,Ensemble_29,Ensemble_30
2432,propyl acetate,n-Hexane,0.959350221,0.652325186,0.647103242,0.737164066,0.845868268,0.444685821,0.182321557,1.193922468,0.920282753,[119] ,CCCOC(=O)C,CCCCCC,CCCOC(=O)C CCCCCC,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test
2433,propyl acetate,1-hexyne,-0.223143551,-0.127833372,-0.127833372,0.048790164,,,,,-0.051293294,[190] ,CCCOC(=O)C,CCCCC#C,CCCOC(=O)C CCCCC#C,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
2434,propyl acetate,2-hexyne,0.139761942,0.029558802,0.019802627,0.198850859,,,,,0.086177696,[190] ,CCCOC(=O)C,CCCC#CC,CCCOC(=O)C CCCC#CC,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train
2435,propyl acetate,3-hexyne,0.173953307,0.029558802,0.019802627,0.198850859,,,,,0.207014169,[190] ,CCCOC(=O)C,CCC#CCC,CCCOC(=O)C CCC#CCC,Train,Train,Train,Valid,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train
2436,Propyl sulfolanyl ether,n-Hexane,2.866761892,2.453587967,2.457021446,2.464703942,,,,,2.772588722,"['[47] ', '[73] ']",O=[S]1(=O)CC(CC1)OCCC,CCCCCC,O=[S]1(=O)CC(CC1)OCCC CCCCCC,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test
2437,Propyl sulfolanyl ether,Benzene,0.636576829,0.385262401,0.412109651,0.277631737,,,,,0.336472237,"['[47] ', '[73] ']",O=[S]1(=O)CC(CC1)OCCC,c1ccccc1,O=[S]1(=O)CC(CC1)OCCC c1ccccc1,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test
2438,Propylamine,n-Heptane,1.342864803,0.887891257,0.978326123,1.00063188,,0.875468737,0.524728529,,1.011600912,[137] ,CCCN,CCCCCCC,CCCN CCCCCCC,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train
2439,Propylene carbonate,n-Hexane,3.541538866,,,,3.676047475,3.411147713,5.080596585,,3.83494271,"['[73] ', '[54] ', '[47] ']",CC1COC(=O)O1,CCCCCC,CC1COC(=O)O1 CCCCCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,Propylene carbonate,Benzene,1.205970807,,,,1.278152203,1.638996715,2.407845604,,1.185868976,"['[73] ', '[47] ']",CC1COC(=O)O1,c1ccccc1,CC1COC(=O)O1 c1ccccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441,propylene carbonate,n-Pentane,3.090132949,,,,3.296577333,3.091042453,5.402316957,,3.250374492,[54] ,CC1COC(=O)O1,CCCCC,CC1COC(=O)O1 CCCCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442,propylene carbonate,Cyclohexane,3.027230941,,,,3.333275365,2.346601978,3.567841126,,3.234425119,"['[54] ', '[47] ']",CC1COC(=O)O1,C1CCCCC1,CC1COC(=O)O1 C1CCCCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443,propylene carbonate,2-methylpentane,3.426540189,,,,3.616039908,,,,3.600594539,[54] ,CC1COC(=O)O1,CCCC(C)C,CC1COC(=O)O1 CCCC(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444,propylene carbonate,n-Heptane,3.982481469,,,,4.044804117,3.716737782,4.765331338,,4.171305603,[54] ,CC1COC(=O)O1,CCCCCCC,CC1COC(=O)O1 CCCCCCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445,propylene carbonate,"2,4-dimethylpentane",3.734330717,,,,3.875773873,,,,3.976311495,[54] ,CC1COC(=O)O1,CC(C)CC(C)C,CC1COC(=O)O1 CC(C)CC(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
